Time_Hour,169,220,236,101,146,189,84,192,8,53,116,159,69,223,169F,220F,236F,101F,146F,189F,84F,192F,8F,53F,116F,159F,69F,223F
9.509444,0.23655,0.25785,0.12945,0.10935,0.3341,0.33525,0.3329,0.38765,0.34745,0.16225,0.2931,0.32625,0.2698,0.23775,0.0922,0.0579,0.01325,0.01355,0.17845,0.10355,0.17005,0.1279,0.08835,0.18605,0.2008,0.16725,0.15245,0.12635
9.676111,0.2339,0.26115,0.13095,0.10455,0.32785,0.335,0.3259,0.38665,0.34435,0.15835,0.29035,0.33495,0.26735,0.2344,0.0989,0.0639,0.0165,0.0136,0.1791,0.1031,0.16415,0.1315,0.0946,0.1857,0.20045,0.1773,0.1533,0.12965
9.843055,0.23415,0.2583,0.1342,0.1092,0.33305,0.3286,0.32595,0.38825,0.3483,0.15785,0.28455,0.33455,0.27445,0.23675,0.0931,0.0604,0.0132,0.0141,0.1722,0.1063,0.1661,0.1319,0.09445,0.1823,0.19985,0.17535,0.15705,0.1225
10.009722,0.23345,0.2584,0.12875,0.1096,0.33625,0.32585,0.3261,0.3784,0.33835,0.1481,0.28755,0.32835,0.26345,0.23355,0.0923,0.0565,0.01255,0.01415,0.17405,0.09775,0.16085,0.1221,0.08715,0.19115,0.19885,0.17965,0.15645,0.1327
10.176389,0.2346,0.262,0.1296,0.1099,0.3297,0.32635,0.32495,0.3778,0.3367,0.14735,0.28845,0.31905,0.26685,0.2326,0.0909,0.05065,0.0073,0.00925,0.1709,0.1042,0.1601,0.11965,0.08315,0.18525,0.1978,0.1688,0.15405,0.12985
10.343333,0.24165,0.26815,0.1355,0.1099,0.33095,0.32305,0.3254,0.3803,0.3476,0.1538,0.2836,0.32545,0.2694,0.2349,0.0966,0.0543,0.00945,0.01135,0.1716,0.10145,0.16135,0.12665,0.08575,0.17565,0.1963,0.1686,0.15035,0.11825
10.51,0.23575,0.26285,0.12915,0.10605,0.323,0.32445,0.3231,0.3739,0.33855,0.14305,0.28435,0.3276,0.27105,0.23445,0.09085,0.0507,0.00445,0.00895,0.1734,0.1048,0.15915,0.1238,0.0883,0.1887,0.1941,0.1794,0.1536,0.1209
10.676944,0.2353,0.26095,0.1342,0.1069,0.32345,0.3214,0.3177,0.37395,0.34225,0.14335,0.2845,0.32685,0.2574,0.2301,0.09115,0.05265,0.0051,0.00815,0.1677,0.1005,0.15695,0.12755,0.08905,0.18955,0.19375,0.17905,0.15165,0.12885
10.843889,0.2346,0.2644,0.13085,0.1078,0.32985,0.3249,0.31595,0.3773,0.3485,0.14475,0.28235,0.32825,0.26235,0.23505,0.0909,0.05165,0.00645,0.00685,0.17055,0.09375,0.16105,0.13045,0.09035,0.1868,0.18965,0.17905,0.1516,0.1253
11.010833,0.2383,0.26715,0.13495,0.10905,0.33095,0.32245,0.32475,0.3712,0.3465,0.1428,0.2853,0.31765,0.2603,0.23245,0.09735,0.0515,0.0075,0.0052,0.17075,0.09425,0.1562,0.12065,0.07535,0.18065,0.1938,0.16895,0.14935,0.12
